index,song,year,artist,genre,lyrics,word_count
124916,without-you,1968,fleetwood-mac,Rock,im crazy for my baby but my baby she dont love me im so lonely babe im so lonely babe no i cant live without you babe im so lonely babe i woke up last night i found she was gone i woke up last night found she was gone im so lonely babe im so lonely babe no i cant live without you babe im so lonely babe i woke up last night found she was gone i woke up last night i found she was gone im so lonely babe im so lonely babe no i cant live without you babe im so lonely babe,107
66985,how-the-web-was-woven,1970,elvis-presley,Rock,how the web was woven in my soul dont you know how the web was woven cant get loose cant let go like the weave of a spider wound around my heart im no longer free at last im where you want me dont you know thats where i want to be spinning round like a blue fly thoughts of you fill my head and no matter oh how i try i cant sleep in my bed ive been round for the last time oh girl what can i do oh the time the web was woven how i fell in love fell in love with you,107
66984,bridge-over-troubled-water,1970,elvis-presley,Rock,when youre weary feeling small when tears are in your eyes i will dry them all im on your site oh when times get rough and friends just cant be found like a bridge over troubled water i will lay me down oh like a bridge over troubled water i will lay me down when youre down and out when youre on the streets when evening falls so hard i will comfort you ill take your part when the darkness falls and pain is all around yes like a bridge over troubled water i will lay me down oh like a bridge over troubled water i will lay me down sail on silver girl sail on by your time has come to shine all your dreams are on their way see how they shine oh if you need a friend im sailing right behind yes like a bridge over troubled water i i will ease your mind like a bridge over troubled water i will easy your mind,168
175262,attics-of-my-life,1970,grateful-dead,Rock,in the attics of my life full of cloudy dreams unreal full of tastes no tongue can know and lights no eye can see when there was no ear to hear you sang to me i have spent my life seeking all thats still unsung bent my ear to hear the tune and closed my eyes to see when there were no strings to play you played to me in the book of loves own dreams where all the print is blood where all the pages are my days and all my lights grow old when i had no wings to fly you flew to me you flew to me,110
1055,music-for-my-mother,1970,funkadelic,Rock,man i was in a place called keep runnin mississippi one time and i heard someone on my way by sounded a little something like raw funk to me so i slowed down and took a listen and this is all i could hear baby whoa hey whoa whoa hey whoa whoa hey whoa whoa hey whoa whoa hey whoa whoa it got so good to me man that i stopped runnin my feet was tired anyhow so i reached in my inside pocket and got my harp out sit down by old beat up railroad train and get me get myself a little of that old funky thang yeah incomprehensible whoa hey whoa yeah yeah yeah yeah yeah can you all feel what i mean this is what you call way back yonder funk,135
1054,i-bet-you,1970,funkadelic,Rock,ice cubes on a red hot stove will melt and ill bet ya a drowning man bet his first words are help and ill bet ya if you bet on a horse and the horse dont win you lose and ill bet ya if you try to sit on air youre gonna fall and ill bet ya if you want a winning hand if you want a perfect man ill bet you never lose with love im gonna win and ill bet ya bet you never lose with love im gonna win and ill bet ya take a car without fuel it aint gonna move and ill bet ya a carpenter cant build his house without any tools and ill bet ya if your shoes are too small they hurt your feet and ill bet ya and you cant know whats goin on if youre asleep oh ill bet ya if you want a winning hand if you want a perfect man ill bet you never lose my love you will win and ill bet ya bet you never lose my love you got to win i bet ya,189
1052,good-old-music,1970,funkadelic,Rock,shake your head everybodys gettin funky in the days when the funk was gone i recall not long ago when the funk it was goin strong now they were rocking upside the wall to funky music rockin out in the hall to funky music now they were jumpin up and having a ball to funky music musics got them beggin for more give me more give me more come on give me more give me more of that good old funky music yeah good old funky music yeah yes indeed theyre movin yes they are doin it to and fro yes indeed theyre groovin to that music that will let them go you know they started somewhere round about midnight to funky music and they rocked it all night until daylight to funky music music that was groovin my mother to funky music its groovy for my sister and brother give me more give me more come on lets sing it together give me more give me more of that good old funky music yeah good old funky music yeah music that was groovin my mother funky music its groovy for my sister and brother good old funky music yeah good old funky music yeah,205
28362,and-i-wish-i-were-stoned-don-t-worry,1970,caravan,Rock,dont worry cause i always be there for you i just needed you to comfort me and i have tried to make it right and i dont know that i feel so sure but i think that we must stand so ive sung this song for you and i just want you to say to me dont worry cause ill always be there for you and the heavens above dont worry cause ill always be there for you and the heavens above dont worry cause ill always be there for you always be there and all i wanted was to stand alone so is there a place that we could meet that we could meet and you see this face within your face and i stayed away but i am back to hear you say dont worry cause ill always be there for you and the heavens above dont worry cause ill always be there for you and the heavens above dont worry cause ill always be there for you always be there and the heavens above can you hear me can you hear me through the spaces through the spaces wondering in this wonderland and if i try to understand it broken man broken man dont worry cause ill always be there for you and the heavens above broken man dont worry cause ill always be there for you always be there broken man yeah hey yeah repeats,239
117167,all-the-madmen,1970,david-bowie,Rock,day after day they send my friends away to mansions cold and grey to the far side of town where the thin men stalk the streets while the sane stay underground day after day they tell me i can go they tell me i can blow to the far side of town where its pointless to be high cause its such a long way down so i tell them that i can fly i will scream i will break my arm i will do me harm here i stand foot in hand talking to my wall im not quite right at all am i dont set me free im as heavy as can be just my librium and me and my est makes three cause id rather stay here with all the madmen than perish with the sad men roaming free and id rather play here with all the madmen for im quite content theyre all as sane as me where can the horizon lie when a nation hides its organic minds in a cellar dark and grim they must be very dim day after day they take some brain away then turn my face around to the far side of town and tell me that its real then ask me how i feel here i stand foot in hand talking to my wall im not quite right at all dont set me free im as helpless as can be my libidos split on me gimme some good ole lobotomy cause id rather stay here with all the madmen than perish with the sad men roaming free and id rather play here with all the madmen for im quite content theyre all as sane as me zane zane zane ouvre le chien zane zane zane ouvre le chien zane zane zane ah ah ah ouvre le chien zane zane zane ah ah ah ouvre le chien zane zane zane ah ah ah ouvre le chien zane zane zane ah ah ah ouvre le chien zane zane zane ah ah ah ouvre le chien zane zane zane ah ah ah ouvre le chien zane zane zane ah ah ah ouvre le chien zane zane zane ah ah ah ouvre le chien,370
117168,black-country-rock,1970,david-bowie,Rock,pack a pack horse and rest up here on black country rock you never know you might find it here on black country rock pack a pack horse and rest up here on black country rock you never know you might find it here on black country rock some say the view is crazy but you may adopt another point of view so if its much too hazy you can leave my friend and me with fond adieu pack a pack horse and rest up here on black country rock you never know you might find it here on black country rock pack a pack horse and rest up here on black country rock you never know you might find it here on black country rock some say the view is crazy but you may adopt another point of view so if its much too hazy you can leave my friend and me with fond adieu some say the view is crazy but you may adopt another point of view so if its much too hazy you can leave my friend and me with fond adieu ah,187
117169,after-all,1970,david-bowie,Rock,please trip them gently they dont like to fall oh by jingo theres no room for anger were all very small oh by jingo were painting our faces and dressing in thoughts from the skies from paradise but they think that were holding a secretive ball wont someone invite them theyre just taller children ooh thats all after all man is an obstacle sad as the clown oh by jingo so hold on to nothing and he wont let you down oh by jingo some people are marching together and some on their own quite alone others are running the smaller ones crawl but some sit in silence theyre just older children thats all after all i sing with impertinence shading impermanent chords with my words ive borrowed your time and im sorry i called but the thought just occurred that were nobodys children at all after all live your rebirth and do what you will oh by jingo forget all ive said please bear me no ill oh by jingo after all after all,175
